"title","artists","date","duration","genre","award","nation"
"California Gurls","Katy Perry","7 maggio 2010","3:55","Elettropop,,Funk,,Bubblegum pop,,Pop rap","8_platino","usa"
"Mask Off","Future","18 aprile 2017","3:23","Trap","8_platino","usa"
"All I Want for Christmas Is You","Mariah Carey","1ยบ novembre 1994","4:01","","8_platino","usa"
"Love Story","Taylor Swift","12 settembre 2008  (date di pubblicazione)","3:56","Country pop","8_platino","usa"
"California Love","Tupac Shakur","28 dicembre 1995","6:25","West Coast hip hop,,G-funk","8_platino","usa"
"Fancy","Iggy Azalea","17 febbraio 2014","3:19","Elettrorap,,Trap","8_platino","usa"
"I'm the One","DJ Khaled","28 aprile 2017","4:48","Pop rap","8_platino","usa"
"Can't Feel My Face","The Weeknd","8 giugno 2015","3:35","Pop,,Funk,,Disco","8_platino","usa"
"Don't Let Me Down","The Chainsmokers","5 febbraio 2016","3:28","Dance pop","8_platino","usa"
"Fefe","6ix9ine,Nicki Minaj,Murda Beatz","22 luglio 2018","2:59","Trap","8_platino","usa"
"Hot n Cold","Katy Perry","30 settembre 2008","3:40","Dance pop","8_platino","usa"
"Sexy and I Know It","LMFAO","16 settembre 2011","3:19","Electronic dance music,,Musica demenziale","8_platino","usa"
"Hotline Bling","Drake","31 luglio 2015","4:19","Dancehall reggae,,Afrobeat","8_platino","usa"
"Dynamite","Taio Cruz","5 luglio 2010","3:23","Elettropop,,Dance pop","8_platino","usa"
"Somebody That I Used to Know","Gotye","6 luglio 2011","4:04","Art pop","8_platino","usa"
"Taste","Tyga","16 maggio 2018","3:52","Gangsta rap,,Trap","8_platino","usa"
"Rockstar","Post Malone","15 settembre 2017","3:38","Trap","8_platino","usa"
"Bohemian Rhapsody","Queen","31 ottobre 1975","9:00","Rock progressivo,,Hard rock,,Art rock","8_platino","usa"
"Starboy","The Weeknd","22 settembre 2016","3:50","Synth pop","8_platino","usa"
"Super Bass","Nicki Minaj","5 aprile 2011","3:20","Pop rap,,Synth pop","8_platino","usa"
"I Gotta Feeling","Black Eyed Peas,,accreditati come The Black Eyed Peas","18 giugno 2009","4:49","Dance pop","8_platino","usa"
"E.T.","Katy Perry","16 febbraio 2011  (vedi date di pubblicazione)","3:51","Musica elettronica,,Hip hop,,Dubstep","8_platino","usa"
"Lollipop","Lil Wayne","11 marzo 2008","4:59","Elettropop,,Contemporary R&B,,Dirty rap","8_platino","usa"
"One Dance","Drake","5 aprile 2016","2:54","Dancehall reggae","8_platino","usa"
"Sunflower","Post Malone,Swae Lee","18 ottobre 2018","2:39","Ballata,,Dream pop,,Hip hop,,Pop","8_platino","usa"
"Something Just Like This","The Chainsmokers,Coldplay","22 febbraio 2017","4:07","Elettropop","8_platino","usa"
"Unforgettable","French Montana","7 aprile 2017","3:53","Pop rap,,Dancehall reggae","8_platino","usa"
"Rolling in the Deep","Adele","29 novembre 2010","3:48","Pop soul","8_platino","usa"
"Teenage Dream","Katy Perry","23 luglio 2010  (date di pubblicazione)","3:48","Pop,,Bubblegum pop","8_platino","usa"
"Girls Like You","Maroon 5","30 maggio 2018","3:55","Pop rock","8_platino","usa"
"When I Was Your Man","Bruno Mars","15 gennaio 2013","3:33","Pop,,Ballata","8_platino","usa"
"Tik Tok","Kesha","7 agosto 2009","3:20","Elettropop","8_platino","usa"
"Stressed Out","Twenty One Pilots","28 aprile 2015","3:22","Alternative hip hop","8_platino","usa"
"Umbrella","Rihanna","29 marzo 2007","4:36","Dance pop,,Contemporary R&B","8_platino","usa"
